date,code,stock_name,industry,evidence_name,evidence_value,evidence_direction,source,source_type,confidence,note
2026-04-30,000100,TCL科技,面板,营收,2026年一季度营业收入434.54亿元，同比+8.43%。,POSITIVE,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258793.PDF,company_announcement,HIGH,收入增长支持边际改善观察。
2026-04-30,000100,TCL科技,面板,归母净利润,2026年一季度归母净利润15.56亿元，同比+53.71%。,POSITIVE,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258793.PDF,exchange_disclosure,HIGH,利润端同比改善。
2026-04-30,000100,TCL科技,面板,扣非净利润,2026年一季度扣非归母净利润11.55亿元，同比+20.59%。,POSITIVE,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258793.PDF,company_announcement,HIGH,扣非口径也改善。
2026-04-30,000100,TCL科技,面板,经营现金流,2026年一季度经营活动现金流113.95亿元，同比-5.63%。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258793.PDF,exchange_disclosure,HIGH,现金流仍大额为正，但同比小幅下滑。
2026-04-30,000100,TCL科技,面板,资产负债,一季度末总资产3664.10亿元，同比-1.70%；归母权益636.84亿元，同比+3.67%。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258793.PDF,company_announcement,MEDIUM,需继续结合负债率口径判断财务安全。
2026-04-30,000725,京东方A,面板,营收,2026年一季度营业收入510.01亿元，同比+0.80%。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258848.PDF,company_announcement,HIGH,收入小幅增长，改善力度有限。
2026-04-30,000725,京东方A,面板,归母净利润,2026年一季度归母净利润17.07亿元，同比+5.78%。,POSITIVE,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258848.PDF,exchange_disclosure,HIGH,利润小幅改善。
2026-04-30,000725,京东方A,面板,扣非净利润,2026年一季度扣非归母净利润14.38亿元，同比+6.38%。,POSITIVE,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258848.PDF,company_announcement,HIGH,扣非口径保持改善。
2026-04-30,000725,京东方A,面板,经营现金流,2026年一季度经营活动现金流122.99亿元，同比-10.51%。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258848.PDF,exchange_disclosure,HIGH,现金流仍为正，但同比下滑需要复核。
2026-04-30,000725,京东方A,面板,资产规模,2026年一季度末总资产4377.05亿元，同比+0.30%。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-04-30/1225258848.PDF,company_announcement,MEDIUM,资产规模稳定，仍需结合负债和盈利质量。
2026-06-06,002714,牧原股份,猪肉,销量,2026年5月销售商品猪688.3万头，同比+7.43%。,POSITIVE,https://static.cninfo.com.cn/finalpage/2026-06-06/1225354982.PDF,company_announcement,HIGH,销量增长说明经营规模仍在，但不代表盈利改善。
2026-06-06,002714,牧原股份,猪肉,销售均价,2026年5月商品猪销售均价9.80元/公斤，同比-32.51%。,NEGATIVE,https://static.cninfo.com.cn/finalpage/2026-06-06/1225354982.PDF,exchange_disclosure,HIGH,价格同比下滑是盈利弹性风险。
2026-06-06,002714,牧原股份,猪肉,销售收入,2026年5月销售收入85.65亿元，同比-30.13%。,NEGATIVE,https://static.cninfo.com.cn/finalpage/2026-06-06/1225354982.PDF,company_announcement,HIGH,收入同比承压。
2026-06-06,002714,牧原股份,猪肉,屠宰量,2026年5月屠宰生猪301.0万头。,NEUTRAL,https://static.cninfo.com.cn/finalpage/2026-06-06/1225354982.PDF,exchange_disclosure,MEDIUM,业务规模数据，需结合利润率判断。
2026-06-06,002714,牧原股份,猪肉,风险提示,公告提示生猪市场价格大幅波动及动物疫病等风险。,NEGATIVE,https://static.cninfo.com.cn/finalpage/2026-06-06/1225354982.PDF,company_announcement,HIGH,风险提示必须进入复核。
2026-04-22,300498,温氏股份,猪肉,营收,2026年一季度营业收入245.26亿元，调整后同比+0.34%。,NEUTRAL,https://www.wens.com.cn/uploadfiles/2026/04/20260422104359416.pdf,company_announcement,HIGH,收入基本持平，未形成强改善。
2026-04-22,300498,温氏股份,猪肉,净利润,2026年一季度归母净利润-10.70亿元，同比-153.15%。,NEGATIVE,https://www.wens.com.cn/uploadfiles/2026/04/20260422104359416.pdf,exchange_disclosure,HIGH,严重亏损，风险标签应优先。
2026-04-22,300498,温氏股份,猪肉,扣非净利润,2026年一季度扣非归母净利润-11.66亿元，同比-160.89%。,NEGATIVE,https://www.wens.com.cn/uploadfiles/2026/04/20260422104359416.pdf,company_announcement,HIGH,扣非口径同样亏损。
2026-04-22,300498,温氏股份,猪肉,经营现金流,2026年一季度经营活动现金流12.89亿元，同比-64.99%。,NEGATIVE,https://www.wens.com.cn/uploadfiles/2026/04/20260422104359416.pdf,exchange_disclosure,HIGH,现金流为正但同比明显下滑。
2026-04-22,300498,温氏股份,猪肉,资产规模,2026年一季度末总资产921.55亿元。,NEUTRAL,https://www.wens.com.cn/uploadfiles/2026/04/20260422104359416.pdf,company_announcement,MEDIUM,规模信息，需结合负债率和现金流。
